epoch,network_error
1,0.3811676113113296
2,0.29077880436468856
3,0.22334100526448963
4,0.18907642614028963
5,0.1750202214679099
6,0.16963608477537856
7,0.16754612828131207
8,0.16668754290877913
9,0.1663059981032057
10,0.1661204598964506
11,0.16602135203895105
12,0.1659632892558027
13,0.16592612091524594
14,0.16590024696605662
15,0.16588079178345091
16,0.16586514258546572
17,0.16585183671024636
18,0.16584002528460737
19,0.16582920003716933
20,0.16581904780679235
21,0.1658093702853695
22,0.16580003847637045
23,0.16579096622668088
24,0.16578209450687081
25,0.1657733818786211
26,0.16576479859208018
27,0.16575632285189565
28,0.16574793840270974
29,0.16573963293265262
30,0.16573139699395342
31,0.1657232232571477
32,0.16571510598499498
33,0.16570704065414013
34,0.165699023678175
35,0.16569105220167205
36,0.1656831239448165
37,0.16567523708473103
38,0.16566739016382206
39,0.16565958201830316
40,0.16565181172197216
41,0.16564407854164476
42,0.1656363819015849
43,0.16562872135493678
44,0.1656210965606488
45,0.16561350726473548
46,0.16560595328498687
47,0.16559843449843345
48,0.16559095083102598
49,0.1655835022491036
50,0.16557608875231264
51,0.16556871036770848
52,0.16556136714482445
53,0.1655540591515359
54,0.1655467864705798
55,0.1655395491966171
56,0.16553234743374573
57,0.1655251812933899
58,0.16551805089250324
59,0.16551095635203628
60,0.16550389779562585
61,0.16549687534847238
62,0.16548988913637616
63,0.16548293928490884
64,0.16547602591870023
65,0.16546914916082361
66,0.1654623091322659
67,0.16545550595147002
68,0.16544873973394061
69,0.16544201059190372
70,0.16543531863401365
71,0.16542866396510084
72,0.1654220466859554
73,0.16541546689314202
74,0.1654089246788424
75,0.16540242013072126
76,0.16539595333181434
77,0.16538952436043458
78,0.16538313329009502
79,0.1653767801894469
80,0.16537046512223014
81,0.16536418814723605
82,0.16535794931828035
83,0.1653517486841854
84,0.16534558628877102
85,0.1653394621708528
86,0.1653333763642469
87,0.16532732889778146
88,0.16532131979531312
89,0.16531534907574869
90,0.16530941675307143
91,0.16530352283637098
92,0.16529766732987794
93,0.16529185023300064
94,0.16528607154036593
95,0.1652803312418622
96,0.16527462932268536
97,0.16526896576338662
98,0.16526334053992295
99,0.16525775362370906
100,0.16525220498167117
101,0.16524669457630267
102,0.16524122236572067
103,0.1652357883037245
104,0.16523039233985484
105,0.1652250344194542
106,0.1652197144837284
107,0.16521443246980885
108,0.16520918831081538
109,0.1652039819359202
110,0.1651988132704122
111,0.1651936822357616
112,0.16518858874968573
113,0.1651835327262144
114,0.16517851407575604
115,0.16517353270516433
116,0.16516858851780444
117,0.16516368141362017
118,0.16515881128920049
119,0.16515397803784687
120,0.16514918154963998
121,0.16514442171150692
122,0.1651396984072883
123,0.16513501151780458
124,0.16513036092092356
125,0.16512574649162662
126,0.16512116810207492
127,0.16511662562167628
128,0.16511211891715044
129,0.16510764785259524
130,0.16510321228955177
131,0.16509881208706956
132,0.16509444710177126
133,0.16509011718791694
134,0.1650858221974681
135,0.16508156198015111
136,0.1650773363835204
137,0.16507314525302103
138,0.16506898843205084
139,0.16506486576202206
140,0.16506077708242264
141,0.16505672223087658
142,0.1650527010432043
143,0.16504871335348195
144,0.16504475899410048
145,0.165040837795824
146,0.1650369495878475
147,0.16503309419785406
148,0.1650292714520714
149,0.16502548117532798
150,0.16502172319110786
151,0.1650179973216059
152,0.16501430338778136
153,0.16501064120941156
154,0.16500701060514425
155,0.16500341139254987
156,0.1649998433881728
157,0.164996306407582
158,0.1649928002654211
159,0.1649893247754574
160,0.1649858797506308
161,0.16498246500310149
162,0.16497908034429723
163,0.16497572558495974
164,0.16497240053519055
165,0.1649691050044962
166,0.16496583880183238
167,0.1649626017356478
168,0.164959393613927
169,0.16495621424423282
170,0.16495306343374774
171,0.16494994098931492
172,0.16494684671747814
173,0.16494378042452154
174,0.16494074191650793
175,0.16493773099931747
