epoch,network_error
1,0.24677531557315688
2,0.2452656909954463
3,0.24365041419691189
4,0.24190937322398037
5,0.24001792423340151
6,0.23794603224656083
7,0.2356574975332429
8,0.23310955420266344
9,0.23025338278354907
10,0.22703646162659757
11,0.22340814446815166
12,0.219330136744118
13,0.21479298589067697
14,0.20983719352519392
15,0.20457235391922243
16,0.19918172209628957
17,0.1938993770056081
18,0.18895969621086267
19,0.18453955459643484
20,0.18072295974434055
21,0.17750309755017532
22,0.17481198080719418
23,0.17255626376283764
24,0.17064376410474738
25,0.1689967842215205
26,0.16755546987183348
27,0.1662759535081136
28,0.16512675501600552
29,0.16408524538776167
30,0.1631348321726842
31,0.1622629452115377
32,0.1614596826180536
33,0.16071693540178728
34,0.16002783480259455
35,0.15938640747723104
36,0.15878736045817704
37,0.15822594532961165
38,0.1576978699321387
39,0.1571992381981773
40,0.15672650647108383
41,0.15627644944189967
42,0.15584613173702974
43,0.15543288292274113
44,0.15503427471174444
45,0.15464809974539415
46,0.15427235165542982
47,0.15390520628716772
48,0.15354500405552224
49,0.15319023344470767
50,0.1528395156750193
51,0.15249159055945283
52,0.15214530356715517
53,0.1517995941044517
54,0.15145348502006645
55,0.15110607334053355
56,0.15075652224538807
57,0.15040405429983178
58,0.15004794597529544
59,0.14968752350564024
60,0.1493221601485409
61,0.14895127494761254
62,0.14857433312060145
63,0.14819084823158465
64,0.14780038633910061
65,0.1474025723449811
66,0.1469970987964229
67,0.14658373741053066
68,0.1461623535873604
69,0.14573292414196884
70,0.14529555840128408
71,0.14485052265607762
72,0.14439826770580874
73,0.14393945885602824
74,0.14347500719804912
75,0.1430061003034796
76,0.1425342296119482
77,0.1420612108338625
78,0.14158919275434176
79,0.1411206491206728
80,0.14065834812715863
81,0.14020529474360197
82,0.13976464311097797
83,0.1393395796287709
84,0.1389331820153948
85,0.13854826487383706
86,0.13818722697319435
87,0.1378519181214721
88,0.1375435429105692
89,0.1372626142790886
90,0.13700896242645513
91,0.13678179586416464
92,0.13657980355263902
93,0.13640128206091934
94,0.13624427040735174
95,0.13610667738869348
96,0.13598639058377093
97,0.13588136132316755
98,0.13578966448780133
99,0.13570953531009394
100,0.13563938722190938
101,0.1355778154269692
102,0.1355235906497865
103,0.13547564681510454
104,0.1354330655463093
105,0.13539505953493328
106,0.13536095612693966
107,0.1353301819276851
108,0.13530224883891442
109,0.13527674168184173
110,0.13525330739938143
111,0.13523164573937116
112,0.13521150127601764
113,0.13519265661150376
114,0.1351749266016185
115,0.1351581534603782
116,0.1351422026138339
117,0.135126959189599
118,0.13511232504441723
119,0.1350982162464967
120,0.13508456094204954
121,0.13507129754645794
122,0.13505837320984784
123,0.13504574251476625
124,0.13503336637031904
125,0.1350212110727185
126,0.13500924750688267
127,0.1349974504676657
128,0.1349857980826082
129,0.13497427132087877
130,0.13496285357542154
131,0.13495153030730248
132,0.1349402887429174
133,0.13492911761613713
134,0.1349180069486594
135,0.13490694786285382
136,0.13489593242224135
137,0.1348849534954819
138,0.1348740046403611
139,0.134863080004793
140,0.1348521742423032
141,0.13484128243983434
142,0.13483040005604066
143,0.13481952286851098
144,0.1348086469285926
145,0.13479776852268796
146,0.1347868841390627
147,0.1347759904393489
148,0.13476508423404684
149,0.13475416246143482
150,0.13474322216938223
151,0.13473226049963796
152,0.1347212746742287
153,0.13471026198365665
154,0.1346992197766316
155,0.13468814545111266
156,0.13467703644646678
157,0.13466589023658138
158,0.13465470432379098
159,0.13464347623349948
160,0.1346322035093967
161,0.13462088370918274
162,0.1346095144007266
163,0.1345980931585967
164,0.13458661756090867
165,0.1345750851864463
166,0.13456349361201514
167,0.13455184040999665
168,0.13454012314607422
169,0.13452833937710637
170,0.13451648664912805
171,0.13450456249546047
172,0.13449256443491686
173,0.13448048997008955
174,0.1344683365857091
175,0.13445610174706596
176,0.13444378289848738
177,0.13443137746186268
178,0.13441888283521275
179,0.13440629639129903
180,0.1343936154762683
181,0.13438083740833162
182,0.1343679594764749
183,0.1343549789392
184,0.1343418930232958
185,0.1343286989226388
186,0.13431539379702437
187,0.1343019747710282
188,0.13428843893290063
189,0.13427478333349463
190,0.13426100498522975
191,0.13424710086109537
192,0.1342330678936954
193,0.1342189029743384
194,0.13420460295217712
195,0.13419016463340216
196,0.13417558478049402
197,0.13416086011154038
198,0.13414598729962288
199,0.1341309629722822
200,0.13411578371106703
201,0.13410044605117585
202,0.13408494648119995
203,0.13406928144297728
204,0.1340534473315667
205,0.13403744049535504
206,0.13402125723630726
207,0.13400489381037403
208,0.13398834642806967
209,0.1339716112552357
210,0.13395468441400643
211,0.133937561983993
212,0.1339202400037049
213,0.1339027144722288
214,0.1338849813511851
215,0.13386703656698576
216,0.13384887601341644
217,0.133830495554569
218,0.13381189102815166
219,0.1337930582492053
220,0.1337739930142565
221,0.1337546911059401
222,0.13373514829812433
223,0.13371536036157566
224,0.13369532307019988
225,0.13367503220789975
226,0.13365448357609028
227,0.13363367300191425
228,0.13361259634720354
229,0.13359124951823148
230,0.13356962847630474
231,0.13354772924924332
232,0.13352554794379873
233,0.13350308075906037
234,0.13348032400090232
235,0.13345727409752028
236,0.1334339276161104
237,0.1334102812807379
238,0.1333863319914448
239,0.13336207684464052
240,0.13333751315481773
241,0.1333126384776307
242,0.13328745063436745
243,0.13326194773784092
244,0.13323612821971587
245,0.13320999085927707
246,0.13318353481363548
247,0.13315675964935186
248,0.13312966537544488
249,0.13310225247773055
250,0.13307452195442046
251,0.13304647535288275
252,0.1330181148074442
253,0.1329894430780837
254,0.13296046358983488
255,0.13293118047268224
256,0.1329015986016976
257,0.13287172363712432
258,0.13284156206407258
259,0.13281112123144767
260,0.13278040938968264
261,0.13274943572680298
262,0.13271821040230034
263,0.13268674457824606
264,0.13265505044702813
265,0.1326231412550529
266,0.13259103132171268
267,0.132558736052888
268,0.13252627194822686
269,0.13249365660142817
270,0.13246090869275295
271,0.13242804797299465
272,0.13239509523817028
273,0.1323620722942347
274,0.13232900191118896
275,0.13229590776603933
276,0.13226281437417628
277,0.13222974700887732
278,0.1321967316087999
279,0.1321637946735135
280,0.13213096314732953
281,0.1320982642919144
282,0.13206572554841473
283,0.13203337439008075
284,0.13200123816663462
285,0.13196934394188847
286,0.1319377183263703
287,0.1319063873069434
288,0.13187537607561164
289,0.13184470885986738
290,0.1318144087570603
291,0.13178449757533098
292,0.13175499568365837
293,0.13172592187350954
294,0.1316972932344506
295,0.13166912504587908
296,0.13164143068677342
297,0.13161422156503197
298,0.13158750706759462
299,0.13156129453212503
300,0.1315355892405838
301,0.13151039443456736
302,0.13148571135182954
303,0.13146153928296853
304,0.13143787564685677
305,0.13141471608303693
306,0.13139205455900896
307,0.13136988349010414
308,0.1313481938694824
309,0.13132697540570876
310,0.13130621666535425
311,0.13128590521812822
312,0.1312660277821725
313,0.13124657036732507
314,0.13122751841438396
315,0.13120885692865378
316,0.13119057060633418
317,0.13117264395259248
318,0.13115506139044678
319,0.13113780735986094
320,0.13112086640670795
321,0.131104223261493
322,0.13108786290793384
323,0.13107177064167047
324,0.1310559321195246
325,0.13104033339984053
326,0.13102496097452623
327,0.13100980179347163
328,0.1309948432820525
329,0.13098007335244405
330,0.13096548040945954
331,0.13095105335161136
332,0.13093678156805905
